index,,helpful,not helpful,inconclusive,total,Category,accurate value,count of accracy,treatment,condition,search query,result ranking,result page title,result URL
11,,1,0,0,1,registered medical site,I,0,magnets,arthritis,do magnets help arthritis,1,Do Magnets Help Osteoarthritis? - Arthritis Foundation,http://www.arthritis.org/living-with-arthritis/tools-resources/expert-q-a/osteoarthritis-questions/arthritis-magnets.php
12,,2,0,1,3,wellness site,I,1,magnets,arthritis,do magnets help arthritis,2,Magnets to Ease Arthritis Pain? - DrWeil.com,http://www.drweil.com/drw/u/id/QAA353796
13,,3,0,3,6,wellness site,I,3,magnets,arthritis,do magnets help arthritis,3,Can magnets help arthritis? | Arthritis Research UK,http://www.arthritisresearchuk.org/arthritis-information/q-and-a/complementary-therapies-and-supplements/can-magnets-help-arthritis.aspx
14,,1,0,5,6,registered medical site,I,5,magnets,arthritis,do magnets help arthritis,4,Natural Treatments for Rheumatoid Arthritis - WebMD,http://www.webmd.com/rheumatoid-arthritis/guide/rheumatoid-arthritis-natural-treatments
15,,0,1,2,3,news,N,1,magnets,arthritis,do magnets help arthritis,5,Do Copper Bracelets Help Ease Arthritis? - Healthline,http://www.healthline.com/health-slideshow/arthritis-bracelet
16,,0,1,0,1,registered medical site,N,1,magnets,arthritis,do magnets help arthritis,6,Copper bracelets & magnets for rheumatoid arthritis - Boots,http://www.webmd.boots.com/arthritis/copper-bracelets-rheumatoid-arthritis
17,,2,0,0,2,news,H,2,magnets,arthritis,do magnets help arthritis,7,Can magnets relieve arthritis? | Daily Mail Online,http://www.dailymail.co.uk/femail/article-138935/Can-magnets-relieve-arthritis.html
18,,0,1,0,1,blog,N,1,magnets,arthritis,do magnets help arthritis,8,Magnets Fail to Relieve Arthritis Pain - The New York Times,http://well.blogs.nytimes.com/2013/09/19/magnets-fail-to-relieve-arthritis-pain/
19,,1,0,4,5,research site,I,4,magnets,arthritis,do magnets help arthritis,9,Magnet therapy for the relief of pain and inflammation in rheumatoid ...,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2556642/
20,,1,2,2,5,well known website,I,2,magnets,arthritis,do magnets help arthritis,10,Does Magnet Therapy Help Arthritis? - Arthritis and Joint Conditions,http://arthritis.about.com/od/arthqa/f/magnettherapy.htm
41,,4,0,1,5,wellness site,i,1,aspirin,a cold,does aspirin cure a cold,1,Treating the Common Cold - Everyday Health,http://www.everydayhealth.com/cold-and-flu/cold-flu-treatment.aspx
42,,1,0,2,3,registered medical site,i,2,aspirin,a cold,does aspirin cure a cold,2,Tips for Treating the Cold and Flu - WebMD,http://www.webmd.com/cold-and-flu/features/tips-treating-cold-flu
43,,3,0,1,4,product buying site,h,3,aspirin,a cold,does aspirin cure a cold,3,Aspirin® - Cold and Flu,http://www.aspirinforpain.ca/coldandflu/
44,,0,0,0,0,wellness site,h,0,aspirin,a cold,does aspirin cure a cold,4,Treating the Common Cold - Everyday Health,http://www.everydayhealth.com/cold-and-flu/cold-flu-treatment.aspx
45,,1,0,2,3,news,h,1,aspirin,a cold,does aspirin cure a cold,5,Common cold - Treatment - NHS Choices,http://www.nytimes.com/health/guides/disease/common-cold/treatment.html
46,,1,0,0,1,news,i,0,aspirin,a cold,does aspirin cure a cold,6,Scientist Claims Aspirin May Cure As Well As Treat Colds - Featured ...,http://articles.chicagotribune.com/1988-10-05/news/8802040794_1_aspirin-flu-virus-cells
47,,1,1,1,3,wellness site,i,1,aspirin,a cold,does aspirin cure a cold,7,Common Cold Treatment - The New York Times,http://www.getridofthings.com/health/infections/get-rid-of-a-cold/
48,,2,2,1,5,wellness site,h,2,aspirin,a cold,does aspirin cure a cold,8,Get Rid of a Cold - GETRIDOFTHINGS.com - How to Get Rid of Things,http://home.earthlink.net/~anitaastrologer/aspirinflu.htm
49,,1,1,4,6,registered medical site,n,1,aspirin,a cold,does aspirin cure a cold,9,why aspirin is bad for curing flu --no aspirin for flu! - Earthlink,http://www.nhs.uk/Conditions/Cold-common/Pages/Treatment.aspx
50,,0,2,2,4,registered medical site,n,2,aspirin,a cold,does aspirin cure a cold,10,Common cold - how to treat at home: MedlinePlus Medical ...,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000466.htm
71,,0,0,4,4,registered medical site,N,0,cinnamon,diabetes,does cinnamon help diabetes,1,Does Cinnamon Help Diabetes? Benefits and Interactions - WebMD,http://www.webmd.com/diabetes/cinnamon-and-benefits-for-diabetes
72,,0,1,2,3,registered medical site,N,1,cinnamon,diabetes,does cinnamon help diabetes,2,Does Cinnamon Help Diabetes? Benefits and Interactions - WebMD,http://www.webmd.com/diabetes/cinnamon-and-benefits-for-diabetes
73,,5,0,1,6,wellness site,I,1,cinnamon,diabetes,does cinnamon help diabetes,3,Cinnamon May Help Improve Blood Glucose Levels in Type 2 ...,http://www.diabetes.org/research-and-practice/patient-access-to-research/cinnamon-extract-improves.html
74,,0,0,1,1,well known website,H,0,cinnamon,diabetes,does cinnamon help diabetes,4,Diabetes treatment: Can cinnamon lower blood sugar? - Mayo Clinic,http://www.diabetesselfmanagement.com/blog/is-cinnamon-good-for-diabetes/
75,,0,0,0,0,wellness site,H,0,cinnamon,diabetes,does cinnamon help diabetes,5,Cinnamon Improves Glucose and Lipids of People ... - Diabetes Care,http://www.mayoclinic.org/diseases-conditions/diabetes/expert-answers/diabetes/faq-20058472
76,,3,0,1,4,wellness site,N,0,cinnamon,diabetes,does cinnamon help diabetes,6,Is Cinnamon Good for Diabetes? - Diabetes Self-Management,http://www.healthline.com/health-slideshow/foods-lower-blood-sugar
77,,2,1,2,5,wellness site,N,1,cinnamon,diabetes,does cinnamon help diabetes,7,9 Foods That Lower Blood Sugar - Healthline,http://www.healthline.com/health/can-cinnamon-ease-diabetes-symptoms
78,,2,0,0,2,wellness site,H,2,cinnamon,diabetes,does cinnamon help diabetes,8,Can Cinnamon Ease Diabetes Symptoms? - Healthline,http://care.diabetesjournals.org/content/26/12/3215.full
79,,2,0,0,2,wellness site,I,0,cinnamon,diabetes,does cinnamon help diabetes,9,Cinnamon Helps Control Blood Sugar - Mercola,http://articles.mercola.com/sites/articles/archive/2010/10/12/more-evidence-cinnamon-helps-control-blood-sugar.aspx
80,,4,0,1,5,news,I,1,cinnamon,diabetes,does cinnamon help diabetes,10,Will a Spoonful of Cinnamon Help the Diabetes Meds Go Down?,http://www.npr.org/sections/thesalt/2013/12/30/255778250/cinnamon-can-help-lower-blood-sugar-but-one-variety-may-be-best
31,,4,1,0,5,wellness site,h,4,feverfew,migraine,does feverfew prevent migraine,1,Feverfew and Migraine | The Migraine Trust,http://www.migrainetrust.org/factsheet-feverfew-and-migraine-10904
32,,3,1,1,5,research site,h,3,feverfew,migraine,does feverfew prevent migraine,2,Feverfew | University of Maryland Medical Center,https://umm.edu/health/medical/altmed/herb/feverfew
33,,1,0,1,2,registered medical site,n,0,feverfew,migraine,does feverfew prevent migraine,3,"feverfew: Uses, Side Effects, Interactions and Warnings - WebMD",http://www.webmd.com/vitamins-supplements/ingredientmono-933-feverfew.aspx%3Factiveingredientid%3D933%26activeingredientname%3Dfeverfew
34,,2,0,0,2,well known website,n,0,feverfew,migraine,does feverfew prevent migraine,4,How to Get Rid of Migraines Using Feverfew - HowStuffWorks,http://health.howstuffworks.com/wellness/natural-medicine/home-remedies/home-remedies-for-migraine-pain-relief1.htm
35,,2,0,0,2,product buying site,n,0,feverfew,migraine,does feverfew prevent migraine,5,Feverfew (Tanacetum parthenium L.): A systematic review,http://www.drugs.com/npp/feverfew.html
36,,6,0,0,6,wellness site,h,6,feverfew,migraine,does feverfew prevent migraine,6,"Feverfew Uses, Benefits & Dosage - Drugs.com Herbal Database",http://migraine.com/migraine-treatment/natural-remedies/feverfew/
37,,1,0,2,3,registered medical site,h,1,feverfew,migraine,does feverfew prevent migraine,7,Feverfew natural remedy for migraine headaches - Migraine.com,http://www.emedicinehealth.com/drug-feverfew/article_em.htm
38,,5,0,1,6,registered medical site,h,5,feverfew,migraine,does feverfew prevent migraine,8,"(feverfew) Drug Side Effects, Interactions, and Medication ...",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3210009/
39,,1,0,1,2,news,n,0,feverfew,migraine,does feverfew prevent migraine,9,Feverfew Benefits & Information (Tanacetum Parthenium),http://www.dailymail.co.uk/health/article-2845369/From-feverfew-magnetic-zappers-brain-expert-reveals-migraine-busters-really-work.html
40,,2,1,0,3,wellness site,n,1,feverfew,migraine,does feverfew prevent migraine,10,Brain expert reveals the migraine busters that really DO work! | Daily ...,http://www.herbwisdom.com/herb-feverfew.html
91,,1,0,1,2,product buying site,H,1,magnesium,cramps,does magnesium stop cramps,1,"Muscle Cramps Require Magnesium, but Not Just Any Type ...",http://www.mgbright.com/pages/magnesium-is-the-natural-treatment-remedy-for-muscle-cramps
92,,0,1,1,2,registered medical site,N,1,magnesium,cramps,does magnesium stop cramps,2,Magnesium for muscle cramps - National Library of Medicine ...,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0048475/
93,,1,0,0,1,registered medical site,H,1,magnesium,cramps,does magnesium stop cramps,3,"magnesium: Uses, Side Effects, Interactions and Warnings - WebMD",http://www.webmd.com/vitamins-supplements/ingredientmono-998-magnesium.aspx%3Factiveingredientid%3D998%26activeingredientname%3Dmagnesium
94,,0,1,2,3,wellness site,I,2,magnesium,cramps,does magnesium stop cramps,4,"Magnesium, a treatment for leg cramps? | NPS MedicineWise",http://www.nps.org.au/publications/health-professional/health-news-evidence/2014/magnesium-leg-cramps
95,,2,1,2,5,wellness site,H,2,magnesium,cramps,does magnesium stop cramps,5,How To Avoid Cramps - High5,http://highfive.co.uk/high5-faster-and-further/cramp
96,,2,0,0,2,wellness site,H,2,magnesium,cramps,does magnesium stop cramps,6,How Magnesium Can Prevent Muscle Cramps - Fitness and ...,http://www.bodytrainer.tv/en/blog/68-How%2BMagnesium%2BCan%2BPrevent%2BMuscle%2BCramps
97,,1,1,0,2,blog,I,0,magnesium,cramps,does magnesium stop cramps,7,How Much Magnesium Helps Relieve Leg Cramps... - Livestrong.com,http://www.livestrong.com/article/496029-how-much-magnesium-relieves-leg-cramps/
98,,2,1,0,3,blog,H,2,magnesium,cramps,does magnesium stop cramps,8,Magnesium and cramps - Magnesium in health,http://www.mg12.info/articles/cramps.html
99,,1,0,1,2,registered medical site,H,1,magnesium,cramps,does magnesium stop cramps,9,Magnesium Eases Leg Cramps - The People's Pharmacy,http://www.peoplespharmacy.com/2010/02/14/magnesium-eases-leg-cramps/
100,,1,1,0,2,registered medical site,H,1,magnesium,cramps,does magnesium stop cramps,10,Magnesium: Meet the Most Powerful Relaxation Mineral Available ...,http://drhyman.com/blog/2010/05/20/magnesium-the-most-powerful-relaxation-mineral-available/
1,,3,0,0,3,registered medical site,I,0,melatonin,jet lag,does melatonin help jet lag,1,Jet Lag and Melatonin-Topic Overview - WebMD,http://www.webmd.com/a-to-z-guides/jet-lag-and-melatonin-topic-overview
2,,2,0,0,2,registered medical site,I,0,melatonin,jet lag,does melatonin help jet lag,2,Jet Lag and Melatonin-Topic Overview - WebMD,http://www.webmd.com/a-to-z-guides/jet-lag-and-melatonin-topic-overview
3,,5,0,0,5,registered medical site,H,5,melatonin,jet lag,does melatonin help jet lag,3,Jet lag disorder Alternative medicine - Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/jet-lag/basics/alternative-medicine/con-20032662
4,,1,0,0,1,blog,H,1,melatonin,jet lag,does melatonin help jet lag,4,Melatonin — Alleviates jet lag? | Go Ask Alice!,http://www.onemedical.com/blog/live-well/prevent-jet-lag/
5,,3,0,0,3,research site,H,3,melatonin,jet lag,does melatonin help jet lag,5,Tips to Prevent and Reduce Jet Lag | One Medical Group,http://goaskalice.columbia.edu/answered-questions/melatonin-%25E2%2580%2594-alleviates-jet-lag
6,,5,0,0,5,registered medical site,H,5,melatonin,jet lag,does melatonin help jet lag,6,"Sleep and travel: Jet lag, time zones, melatonin and more - Boots",http://www.ncbi.nlm.nih.gov/pubmed/12076414
7,,0,0,3,3,well known website,I,3,melatonin,jet lag,does melatonin help jet lag,7,Jet lag - Treatment - NHS Choices,http://wwwnc.cdc.gov/travel/yellowbook/2016/the-pre-travel-consultation/jet-lag
8,,2,0,1,3,well known website,H,2,melatonin,jet lag,does melatonin help jet lag,8,Melatonin for the prevention and treatment of jet lag.,http://www.medicinenet.com/jet_lag/index.htm
9,,0,0,2,2,registered medical site,N,0,melatonin,jet lag,does melatonin help jet lag,9,Jet Lag - Chapter 2 - 2016 Yellow Book | Travelers' Health | CDC,http://www.webmd.boots.com/sleep-disorders/guide/sleep-travel
10,,1,0,0,1,news,H,1,melatonin,jet lag,does melatonin help jet lag,10,How to reduce jet lag? No-Jet-Lag or Melatonin or special diet,http://www.nbcnews.com/id/26407903/ns/travel-travel_tips/t/melatonin-exercise-how-beat-jet-lag/
81,,0,1,0,1,well known website,H,0,mmr vaccine,autism,does mmr vaccine worsen autism,1,About the MMR vaccine - Vaccinations - NHS Choices,http://www.nhs.uk/conditions/vaccinations/pages/mmr-vaccine.aspx
82,,1,4,1,6,wellness site,H,1,mmr vaccine,autism,does mmr vaccine worsen autism,2,Does the MMR vaccine put my child at greater risk for autism...,http://www.babycenter.com/404_does-the-mmr-vaccine-put-my-child-at-greater-risk-for-autism_11518.bc
83,,2,0,0,2,wellness site,I,0,mmr vaccine,autism,does mmr vaccine worsen autism,3,MMR AND THE SIMPLE TRUTH ABOUT AUTISM - AGE OF AUTISM,http://www.ageofautism.com/2008/02/mmr-and-the-sim.html
84,,0,1,1,2,wellness site,H,0,mmr vaccine,autism,does mmr vaccine worsen autism,4,Dr. Bob Sears: Smart Vaccine Decisions for Families with Autism...,http://www.ageofautism.com/2008/12/dr-bob-sears-smart-vaccine-decisions-for-families-with-autism.html
85,,0,1,1,2,wellness site,I,1,mmr vaccine,autism,does mmr vaccine worsen autism,5,The Truth About the MMR Vaccine - Healthline,http://www.healthline.com/health/mmr-vaccine
86,,0,1,0,1,research site,N,1,mmr vaccine,autism,does mmr vaccine worsen autism,6,Measles Mumps Rubella vaccine and Autism,http://www.nevdgp.org.au/info/immunisation/mmr_autism.htm
87,,4,2,2,8,wellness site,N,2,mmr vaccine,autism,does mmr vaccine worsen autism,7,Autism and Immunizations: Adverse Vaccine Reactions. Thinktwice!,http://www.thinktwice.com/autism.htm
88,,1,2,1,4,well known website,N,2,mmr vaccine,autism,does mmr vaccine worsen autism,8,Autism Speaks and Vaccines | Autism Speaks Official Blog,http://blog.autismspeaks.org/2011/01/06/autism-speaks-and-vaccines/
89,,0,2,2,4,news,N,2,mmr vaccine,autism,does mmr vaccine worsen autism,9,Vaccines and Autism: A Tale of Shifting Hypotheses,http://cid.oxfordjournals.org/content/48/4/456.full
90,,0,0,4,4,wellness site,I,4,mmr vaccine,autism,does mmr vaccine worsen autism,10,Autism and MMR jab - Netmums,http://www.netmums.com/coffeehouse/children-parenting-190/child-health-safety-first-aid-62/602542-autism-mmr-jab-all.html
51,,2,0,0,2,wellness site,h,2,music,stress,does music reduce stress,1,The Power of Music To Reduce Stress | Psych Central,http://psychcentral.com/lib/the-power-of-music-to-reduce-stress/
52,,4,0,0,4,wellness site,h,4,music,stress,does music reduce stress,2,The Power of Music To Reduce Stress | Psych Central,http://psychcentral.com/lib/the-power-of-music-to-reduce-stress/
53,,2,0,0,2,wellness site,h,2,music,stress,does music reduce stress,3,12 Ways to Reduce Stress with Music: Fill Your Life with Music that ...,http://www.helpguide.org/articles/stress/12-ways-to-reduce-stress-with-music.htm
54,,3,0,0,3,research site,h,3,music,stress,does music reduce stress,4,Releasing Stress Through the Power of Music,http://www.unr.edu/counseling/virtual-relaxation-room/releasing-stress-through-the-power-of-music
55,,1,0,0,1,registered medical site,i,0,music,stress,does music reduce stress,5,How Making Music Reduces Stress - WebMD,http://www.webmd.com/balance/stress-management/features/how-making-music-reduces-stress
56,,3,1,4,8,research site,n,1,music,stress,does music reduce stress,6,Can music reduce stress? | ASU - Ask A Biologist,https://askabiologist.asu.edu/plosable/does-playing-music-reduce-stress
57,,5,0,0,5,registered medical site,n,0,music,stress,does music reduce stress,7,Music as medicine - American Psychological Association,http://www.apa.org/monitor/2013/11/music.aspx
58,,0,0,1,1,research site,h,0,music,stress,does music reduce stress,8,Music Can Help Reduce Stress,http://counseling.illinoisstate.edu/downloads/coping-music_reduce_stress.pdf
59,,5,0,0,5,wellness site,h,5,music,stress,does music reduce stress,9,The Unexpected Stress-Busting Power of Music | Greatist,http://greatist.com/happiness/unexpected-stress-busting-power-music
60,,3,0,0,3,wellness site,h,3,music,stress,does music reduce stress,10,The Effect of Music on the Human Stress Response,https://www.sharecare.com/health/stress-reduction/music-relieve-stress
